Run	Sample Characteristic[developmental stage]	Sample Characteristic Ontology Term[developmental stage]	Sample Characteristic[genotype]	Sample Characteristic Ontology Term[genotype]	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Sample Characteristic[sex]	Sample Characteristic Ontology Term[sex]	Sample Characteristic[strain]	Sample Characteristic Ontology Term[strain]	Sample Characteristic[age]	Sample Characteristic Ontology Term[age]	Sample Characteristic[initial time point]	Sample Characteristic Ontology Term[initial time point]	Factor Value[developmental stage]	Factor Value Ontology Term[developmental stage]	Factor Value[organism part]	Factor Value Ontology Term[organism part]	Factor Value[sex]	Factor Value Ontology Term[sex]	Analysed
SRR027904	embryo Ce	http://purl.obolibrary.org/obo/WBls_0000003	him-8(e1489)IV.		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	male	http://purl.obolibrary.org/obo/PATO_0000384	CB1489	http://www.ebi.ac.uk/efo/EFO_0005491					embryo Ce	http://purl.obolibrary.org/obo/WBls_0000003	organism	http://purl.obolibrary.org/obo/UBERON_0000468	male	http://purl.obolibrary.org/obo/PATO_0000384	Yes
SRR027905	embryo Ce	http://purl.obolibrary.org/obo/WBls_0000003	him-8(e1489)IV.		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	male	http://purl.obolibrary.org/obo/PATO_0000384	CB1489	http://www.ebi.ac.uk/efo/EFO_0005491					embryo Ce	http://purl.obolibrary.org/obo/WBls_0000003	organism	http://purl.obolibrary.org/obo/UBERON_0000468	male	http://purl.obolibrary.org/obo/PATO_0000384	Yes
SRR031122	L4 larva Ce	http://www.ebi.ac.uk/efo/EFO_0005509	glp-1		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	JK1107	http://www.ebi.ac.uk/efo/EFO_0005492					L4 larva Ce	http://www.ebi.ac.uk/efo/EFO_0005509	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR031123	L4 larva Ce	http://www.ebi.ac.uk/efo/EFO_0005509	glp-1		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	JK1107	http://www.ebi.ac.uk/efo/EFO_0005492					L4 larva Ce	http://www.ebi.ac.uk/efo/EFO_0005509	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR089352	adult Ce	http://purl.obolibrary.org/obo/WBls_0000041	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2						adult Ce	http://purl.obolibrary.org/obo/WBls_0000041	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR089353	adult Ce	http://purl.obolibrary.org/obo/WBls_0000041	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2						adult Ce	http://purl.obolibrary.org/obo/WBls_0000041	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR089354	adult Ce	http://purl.obolibrary.org/obo/WBls_0000041	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2						adult Ce	http://purl.obolibrary.org/obo/WBls_0000041	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR089405	L3 larva Ce	http://www.ebi.ac.uk/efo/EFO_0002720	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2						L3 larva Ce	http://www.ebi.ac.uk/efo/EFO_0002720	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR089406	L3 larva Ce	http://www.ebi.ac.uk/efo/EFO_0002720	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2						L3 larva Ce	http://www.ebi.ac.uk/efo/EFO_0002720	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR089407	L3 larva Ce	http://www.ebi.ac.uk/efo/EFO_0002720	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2						L3 larva Ce	http://www.ebi.ac.uk/efo/EFO_0002720	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR089784	proliferating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005501	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2						proliferating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005501	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR089785	proliferating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005501	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2						proliferating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005501	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR089786	proliferating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005501	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2						proliferating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005501	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR089795	proliferating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005501	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2						proliferating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005501	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR089796	proliferating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005501	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2						proliferating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005501	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR089797	embryo Ce	http://purl.obolibrary.org/obo/WBls_0000003	him-8(e1489)IV.		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	male	http://purl.obolibrary.org/obo/PATO_0000384	CB1489	http://www.ebi.ac.uk/efo/EFO_0005491					embryo Ce	http://purl.obolibrary.org/obo/WBls_0000003	organism	http://purl.obolibrary.org/obo/UBERON_0000468	male	http://purl.obolibrary.org/obo/PATO_0000384	Yes
SRR089798	post dauer stage Ce	http://www.ebi.ac.uk/efo/EFO_0005511	daf-2(e1370)III.		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	CB1370	http://www.ebi.ac.uk/efo/EFO_0004079					post dauer stage Ce	http://www.ebi.ac.uk/efo/EFO_0005511	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR089799	L4 larva Ce	http://www.ebi.ac.uk/efo/EFO_0005509	glp-1		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	JK1107	http://www.ebi.ac.uk/efo/EFO_0005492					L4 larva Ce	http://www.ebi.ac.uk/efo/EFO_0005509	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR089821	L1 larva Ce	http://www.ebi.ac.uk/efo/EFO_0005508	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2						L1 larva Ce	http://www.ebi.ac.uk/efo/EFO_0005508	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR089822	L1 larva Ce	http://www.ebi.ac.uk/efo/EFO_0005508	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2						L1 larva Ce	http://www.ebi.ac.uk/efo/EFO_0005508	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR089823	L1 larva Ce	http://www.ebi.ac.uk/efo/EFO_0005508	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2						L1 larva Ce	http://www.ebi.ac.uk/efo/EFO_0005508	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR124255	fully-elongated embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005504	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2						fully-elongated embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005504	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR124256	fully-elongated embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005504	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2						fully-elongated embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005504	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR124257	fully-elongated embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005504	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2						fully-elongated embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005504	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR124273	L4 larva Ce	http://www.ebi.ac.uk/efo/EFO_0005509	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	male	http://purl.obolibrary.org/obo/PATO_0000384	N2						L4 larva Ce	http://www.ebi.ac.uk/efo/EFO_0005509	organism	http://purl.obolibrary.org/obo/UBERON_0000468	male	http://purl.obolibrary.org/obo/PATO_0000384	Yes
SRR124274	L4 larva Ce	http://www.ebi.ac.uk/efo/EFO_0005509	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	male	http://purl.obolibrary.org/obo/PATO_0000384	N2						L4 larva Ce	http://www.ebi.ac.uk/efo/EFO_0005509	organism	http://purl.obolibrary.org/obo/UBERON_0000468	male	http://purl.obolibrary.org/obo/PATO_0000384	Yes
SRR124275	L2d-dauer molt Ce	http://www.ebi.ac.uk/efo/EFO_0005510	daf-2(e1370)III.		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	CB1370	http://www.ebi.ac.uk/efo/EFO_0004079					L2d-dauer molt Ce	http://www.ebi.ac.uk/efo/EFO_0005510	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR124276	L2d-dauer molt Ce	http://www.ebi.ac.uk/efo/EFO_0005510	daf-2(e1370)III.		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	CB1370	http://www.ebi.ac.uk/efo/EFO_0004079					L2d-dauer molt Ce	http://www.ebi.ac.uk/efo/EFO_0005510	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR125337	L2 larva Ce	http://www.ebi.ac.uk/efo/EFO_0002719	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2						L2 larva Ce	http://www.ebi.ac.uk/efo/EFO_0002719	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR125338	L2 larva Ce	http://www.ebi.ac.uk/efo/EFO_0002719	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2						L2 larva Ce	http://www.ebi.ac.uk/efo/EFO_0002719	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	No
SRR125339	L2 larva Ce	http://www.ebi.ac.uk/efo/EFO_0002719	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2						L2 larva Ce	http://www.ebi.ac.uk/efo/EFO_0002719	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	No
SRR125481	newly molted young adult hermaphrodite Ce	http://www.ebi.ac.uk/efo/EFO_0005498	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2						newly molted young adult hermaphrodite Ce	http://www.ebi.ac.uk/efo/EFO_0005498	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR125482	newly molted young adult hermaphrodite Ce	http://www.ebi.ac.uk/efo/EFO_0005498	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2						newly molted young adult hermaphrodite Ce	http://www.ebi.ac.uk/efo/EFO_0005498	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	No
SRR125491	embryo Ce	http://purl.obolibrary.org/obo/WBls_0000003	him-8(e1489)IV.		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	male	http://purl.obolibrary.org/obo/PATO_0000384	CB1489	http://www.ebi.ac.uk/efo/EFO_0005491					embryo Ce	http://purl.obolibrary.org/obo/WBls_0000003	organism	http://purl.obolibrary.org/obo/UBERON_0000468	male	http://purl.obolibrary.org/obo/PATO_0000384	Yes
SRR136597	L4 larva Ce	http://www.ebi.ac.uk/efo/EFO_0005509	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2						L4 larva Ce	http://www.ebi.ac.uk/efo/EFO_0005509	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR136598	L4 larva Ce	http://www.ebi.ac.uk/efo/EFO_0005509	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2						L4 larva Ce	http://www.ebi.ac.uk/efo/EFO_0005509	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR136599	fully-elongated embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005504	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2						fully-elongated embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005504	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR137925	L1 larva Ce	http://www.ebi.ac.uk/efo/EFO_0005508	lin-35(n745) I.		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	MT10430	http://www.ebi.ac.uk/efo/EFO_0005493					L1 larva Ce	http://www.ebi.ac.uk/efo/EFO_0005508	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR137926	L4 larva Ce	http://www.ebi.ac.uk/efo/EFO_0005509	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	male	http://purl.obolibrary.org/obo/PATO_0000384	N2						L4 larva Ce	http://www.ebi.ac.uk/efo/EFO_0005509	organism	http://purl.obolibrary.org/obo/UBERON_0000468	male	http://purl.obolibrary.org/obo/PATO_0000384	Yes
SRR139094	L1 larva Ce	http://www.ebi.ac.uk/efo/EFO_0005508	lin-35(n745) I.		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	MT10430	http://www.ebi.ac.uk/efo/EFO_0005493					L1 larva Ce	http://www.ebi.ac.uk/efo/EFO_0005508	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR139148	L4 larva Ce	http://www.ebi.ac.uk/efo/EFO_0005509	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	male	http://purl.obolibrary.org/obo/PATO_0000384	N2						L4 larva Ce	http://www.ebi.ac.uk/efo/EFO_0005509	organism	http://purl.obolibrary.org/obo/UBERON_0000468	male	http://purl.obolibrary.org/obo/PATO_0000384	Yes
SRR316196	proliferating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005501	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		20-170 minute		cleavage of the egg cell		proliferating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005501	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR316753	gastrulating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005503	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		80-270 minute		cleavage of the egg cell		gastrulating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005503	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR316754	4-cell embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005500	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2						4-cell embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005500	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR316755	4-cell embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005500	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2						4-cell embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005500	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR316756	4-cell embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005500	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2						4-cell embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005500	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR316928	fully-elongated embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005504	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	pharyngeal muscle cell	http://www.ebi.ac.uk/efo/EFO_0005497	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2						fully-elongated embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005504	pharyngeal muscle cell	http://www.ebi.ac.uk/efo/EFO_0005497	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR316929	fully-elongated embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005504	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	pharyngeal muscle cell	http://www.ebi.ac.uk/efo/EFO_0005497	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2						fully-elongated embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005504	pharyngeal muscle cell	http://www.ebi.ac.uk/efo/EFO_0005497	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR317082	gastrulating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005503	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		80-270 minute		cleavage of the egg cell		gastrulating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005503	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR317083	proliferating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005501	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		20-170 minute		cleavage of the egg cell		proliferating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005501	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR332921	proliferating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005501	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		-150 minute		cleavage of the egg cell		proliferating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005501	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR332922	proliferating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005501	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		-150 minute		cleavage of the egg cell		proliferating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005501	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
SRR332923	proliferating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005501	wild type genotype		Caenorhabditis elegans	http://purl.obolibrary.org/obo/NCBITaxon_6239	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	N2		-150 minute		cleavage of the egg cell		proliferating embryo Ce	http://www.ebi.ac.uk/efo/EFO_0005501	organism	http://purl.obolibrary.org/obo/UBERON_0000468	hermaphrodite	http://purl.obolibrary.org/obo/PATO_0001340	Yes
